Id,MSSubClass,MSZoning,Street,LotShape,BldgType,OverallQual,YearBuilt,YearRemodAdd,MasVnrType,HeatingQC,CentralAir,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageCars,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
27,20,RL,Pave,Reg,1Fam,5,1951,2000,None,TA,Y,900,1,0,3,1,Gd,5,0,2,0,5,2010,WD,Normal,134800
28,20,RL,Pave,Reg,1Fam,8,2007,2008,Stone,Ex,Y,1704,2,0,3,1,Gd,7,1,3,0,5,2010,WD,Normal,306000
29,20,RL,Pave,IR1,1Fam,5,1957,1997,None,TA,Y,1600,1,0,2,1,TA,6,2,1,0,12,2006,WD,Normal,207500
30,30,RM,Pave,IR1,1Fam,4,1927,1950,None,Fa,N,520,1,0,1,1,Fa,4,0,1,0,5,2008,WD,Normal,68500
31,70,C (all),Pave,Reg,1Fam,4,1920,1950,None,TA,N,1317,1,0,3,1,TA,6,0,1,0,7,2008,WD,Normal,40000
32,20,RL,Pave,IR1,1Fam,5,1966,2006,None,Gd,Y,1228,1,1,3,1,Gd,6,0,1,0,6,2008,WD,Normal,149350
33,20,RL,Pave,Reg,1Fam,8,2007,2007,None,Ex,Y,1234,2,0,3,1,Gd,7,0,2,0,1,2008,WD,Normal,179900
34,20,RL,Pave,IR1,1Fam,5,1959,1959,None,Gd,Y,1700,1,1,4,1,Gd,6,1,2,0,4,2010,WD,Normal,165500
35,120,RL,Pave,Reg,TwnhsE,9,2005,2005,BrkFace,Ex,Y,1561,2,0,2,1,Ex,6,1,2,0,8,2007,WD,Normal,277500
36,60,RL,Pave,Reg,1Fam,8,2004,2005,Stone,Ex,Y,2452,3,1,4,1,Gd,9,1,3,0,9,2006,WD,Normal,309000
37,20,RL,Pave,Reg,1Fam,5,1994,1995,None,Ex,Y,1097,1,1,3,1,TA,6,0,2,0,6,2009,WD,Normal,145000
38,20,RL,Pave,Reg,1Fam,5,1954,1990,BrkFace,Gd,Y,1297,1,0,3,1,TA,5,1,2,0,10,2009,WD,Normal,153000
39,20,RL,Pave,Reg,1Fam,5,1953,2007,None,TA,Y,1057,1,0,3,1,Gd,5,0,1,0,1,2010,WD,Abnorml,109000
40,90,RL,Pave,Reg,Duplex,4,1955,1955,None,TA,N,1152,2,0,2,2,Fa,6,0,0,0,6,2008,WD,AdjLand,82000
41,20,RL,Pave,Reg,1Fam,6,1965,1965,BrkFace,Ex,Y,1324,2,0,3,1,TA,6,1,2,0,12,2006,WD,Abnorml,160000
42,20,RL,Pave,Reg,1Fam,5,1959,1959,None,Gd,Y,1328,1,1,2,1,TA,5,2,1,0,7,2007,WD,Normal,170000
43,85,RL,Pave,IR1,1Fam,5,1983,1983,None,Gd,Y,884,1,0,2,1,Gd,5,0,2,0,12,2007,WD,Normal,144000
44,20,RL,Pave,IR1,1Fam,5,1975,1980,None,TA,Y,938,1,0,3,1,TA,5,0,1,0,7,2008,WD,Normal,130250
45,20,RL,Pave,Reg,1Fam,5,1959,1959,None,Ex,Y,1150,1,0,3,1,TA,6,0,1,0,5,2006,WD,Normal,141000
46,120,RL,Pave,Reg,TwnhsE,9,2005,2005,BrkFace,Ex,Y,1752,2,0,2,1,Ex,6,1,2,0,2,2010,WD,Normal,319900
47,50,RL,Pave,IR1,1Fam,7,2003,2003,None,Ex,Y,2149,1,1,1,1,Gd,6,1,2,0,8,2009,WD,Abnorml,239686
48,20,FV,Pave,Reg,1Fam,8,2006,2006,None,Ex,Y,1656,2,0,3,1,Gd,7,0,3,0,7,2007,WD,Normal,249700
49,190,RM,Pave,Reg,2fmCon,4,1920,2008,None,Gd,Y,1452,2,0,2,3,TA,8,0,0,0,6,2009,New,Partial,113000
50,20,RL,Pave,Reg,1Fam,5,1966,1966,None,Ex,Y,955,1,0,3,1,TA,6,0,1,0,1,2007,WD,Normal,127000
51,60,RL,Pave,IR2,1Fam,6,1997,1997,None,Gd,Y,1470,2,0,3,1,TA,6,0,2,0,7,2007,WD,Normal,177000
52,50,RM,Pave,Reg,1Fam,6,1934,1950,None,TA,Y,1176,1,0,3,1,TA,6,1,2,400,9,2006,WD,Normal,114500
53,90,RM,Grvl,IR2,Duplex,5,1963,1963,None,TA,N,816,1,0,2,1,TA,5,0,2,0,5,2010,WD,Normal,110000
54,20,RL,Pave,IR1,1Fam,9,1981,1987,None,Gd,Y,1842,0,1,0,1,Gd,5,1,3,0,11,2006,WD,Normal,385000
55,80,RL,Pave,Reg,1Fam,5,1955,1955,None,TA,Y,1360,1,0,3,1,TA,6,1,2,0,2,2007,WD,Normal,130000
56,20,RL,Pave,IR1,1Fam,6,1964,1964,BrkFace,Gd,Y,1425,2,0,3,1,TA,7,1,2,0,7,2008,WD,Normal,180500
57,160,FV,Pave,Reg,Twnhs,8,1999,2000,BrkFace,Ex,Y,1739,2,1,3,1,Gd,7,0,2,0,8,2009,WD,Abnorml,172500
58,60,RL,Pave,IR1,1Fam,7,2004,2004,None,Ex,Y,1720,2,1,3,1,Gd,7,0,2,0,8,2006,WD,Normal,196500
59,60,RL,Pave,IR2,1Fam,10,2006,2006,BrkFace,Ex,Y,2945,3,1,3,1,Gd,10,1,3,0,10,2006,New,Partial,438780
60,20,RL,Pave,Reg,1Fam,5,1972,1972,None,Ex,Y,780,1,0,2,1,TA,4,0,1,0,1,2008,WD,Normal,124900
61,20,RL,Pave,Reg,1Fam,6,2004,2004,None,Ex,Y,1158,1,1,3,1,Gd,5,0,2,0,5,2006,New,Partial,158000
62,75,RM,Pave,Reg,1Fam,5,1920,1996,None,TA,N,1111,1,0,3,1,Fa,6,0,1,0,3,2007,WD,Normal,101000
63,120,RL,Pave,IR1,TwnhsE,8,2006,2006,Stone,Ex,Y,1370,2,0,2,1,Gd,6,1,2,0,10,2007,WD,Normal,202500
64,70,RM,Pave,IR1,1Fam,7,1921,1950,None,Gd,Y,1710,2,0,3,1,TA,9,0,2,0,4,2010,WD,Normal,140000
65,60,RL,Pave,Reg,1Fam,7,1997,1998,BrkFace,Ex,Y,2034,2,1,3,1,Gd,8,0,2,0,2,2009,WD,Normal,219500
66,60,RL,Pave,Reg,1Fam,8,2004,2005,BrkFace,Ex,Y,2473,2,1,4,1,Gd,9,1,3,0,10,2007,WD,Normal,317000
67,20,RL,Pave,Reg,1Fam,7,1970,1989,BrkFace,TA,Y,2207,2,0,3,1,TA,7,1,2,0,7,2010,WD,Normal,180000
68,20,RL,Pave,IR1,1Fam,7,2003,2003,BrkFace,Ex,Y,1479,2,0,3,1,Gd,7,0,2,0,6,2007,WD,Normal,226000
69,30,RM,Pave,Reg,1Fam,4,1945,1950,None,TA,Y,747,1,0,2,1,TA,4,0,1,0,6,2010,WD,Normal,80000
70,50,RL,Pave,Reg,1Fam,7,1953,1953,None,TA,Y,2287,2,0,3,1,TA,7,1,2,0,7,2006,WD,Normal,225000
71,20,RL,Pave,IR1,1Fam,7,1973,1973,BrkFace,Ex,Y,2223,2,0,3,1,TA,8,2,2,0,2,2007,WD,Normal,244000
72,20,RL,Pave,Reg,1Fam,4,1982,2006,None,TA,Y,845,1,0,2,1,TA,4,0,2,0,6,2007,WD,Normal,129500
73,60,RL,Pave,IR1,1Fam,7,1998,1998,BrkFace,Gd,Y,1718,2,1,3,1,TA,7,1,2,0,12,2009,WD,Normal,185000
74,20,RL,Pave,Reg,1Fam,5,1954,2003,BrkFace,Gd,Y,1086,1,0,3,1,TA,6,0,2,0,5,2010,WD,Normal,144900
75,50,RM,Pave,Reg,1Fam,3,1915,1950,None,Gd,N,1605,2,0,3,2,TA,8,0,1,0,5,2010,WD,Normal,107400
76,180,RM,Pave,Reg,Twnhs,4,1973,1973,None,TA,Y,988,1,0,2,1,TA,5,0,1,0,11,2009,WD,Normal,91000
77,20,RL,Pave,IR1,1Fam,4,1956,1956,None,Ex,Y,952,1,0,2,1,TA,4,0,1,0,4,2008,WD,Normal,135750
78,50,RM,Pave,Reg,1Fam,5,1948,2001,None,TA,Y,1285,1,0,2,1,TA,6,0,1,0,1,2008,WD,Normal,127000
79,90,RL,Pave,Reg,Duplex,4,1968,1968,None,TA,N,1768,2,0,4,2,TA,8,0,0,0,4,2010,WD,Normal,136500
80,50,RM,Pave,Reg,1Fam,5,1910,1981,None,Gd,Y,1230,1,1,2,1,TA,5,0,2,0,5,2009,WD,Normal,110000
81,60,RL,Pave,Reg,1Fam,6,1968,1968,BrkFace,TA,Y,2142,2,1,4,1,Gd,8,1,1,0,6,2009,WD,Normal,193500
82,120,RM,Pave,Reg,TwnhsE,6,1998,1998,BrkFace,Ex,Y,1337,2,0,2,1,TA,5,0,2,0,3,2006,WD,Normal,153500
83,20,RL,Pave,Reg,1Fam,8,2007,2007,Stone,Ex,Y,1563,2,0,3,1,Gd,6,1,3,0,10,2008,WD,Normal,245000
84,20,RL,Pave,IR1,1Fam,5,1960,1960,BrkCmn,Gd,Y,1065,1,1,3,1,TA,6,0,2,0,7,2007,COD,Normal,126500
85,80,RL,Pave,IR1,1Fam,7,1995,1996,BrkFace,Gd,Y,1474,2,1,3,1,TA,7,1,2,700,5,2009,WD,Normal,168500
86,60,RL,Pave,Reg,1Fam,8,1991,1992,BrkFace,Ex,Y,2417,2,1,4,1,Gd,9,1,2,0,4,2006,WD,Normal,260000
87,60,RL,Pave,IR2,1Fam,6,2005,2005,None,Ex,Y,1560,2,1,3,1,Gd,6,1,2,0,3,2009,WD,Normal,174000
88,160,FV,Pave,Reg,TwnhsE,6,2009,2009,Stone,Ex,Y,1224,2,1,2,1,Gd,4,0,2,0,6,2009,New,Partial,164500
89,50,C (all),Pave,IR1,1Fam,3,1915,1982,None,TA,N,1526,1,0,2,1,Fa,6,0,0,0,10,2009,ConLD,Abnorml,85000
90,20,RL,Pave,Reg,1Fam,4,1994,1995,None,Ex,Y,990,1,0,3,1,TA,5,0,0,0,8,2007,WD,Normal,123600
91,20,RL,Pave,Reg,1Fam,4,1950,1950,None,TA,Y,1040,1,0,2,1,TA,4,0,2,0,7,2006,WD,Normal,109900
92,20,RL,Pave,Reg,1Fam,5,1961,1961,BrkCmn,TA,Y,1235,1,0,2,1,TA,6,0,2,0,12,2006,WD,Abnorml,98600
93,30,RL,Pave,IR1,1Fam,5,1921,2006,None,Ex,Y,964,1,0,2,1,TA,5,0,2,0,8,2009,WD,Normal,163500
94,190,C (all),Pave,Reg,2fmCon,6,1910,1998,None,Ex,N,2291,2,0,4,2,TA,9,1,2,0,11,2007,WD,Normal,133900
95,60,RL,Pave,IR1,1Fam,6,1997,1997,None,Ex,Y,1786,2,1,3,1,Gd,7,0,2,0,5,2007,WD,Normal,204750
96,60,RL,Pave,IR2,1Fam,6,1993,1993,BrkFace,Gd,Y,1470,2,1,3,1,TA,6,1,2,480,4,2009,WD,Normal,185000
97,20,RL,Pave,IR1,1Fam,7,1999,1999,BrkFace,Ex,Y,1588,2,0,3,1,Gd,6,0,2,0,8,2006,WD,Normal,214000
98,20,RL,Pave,Reg,1Fam,4,1965,1965,BrkFace,TA,Y,960,1,0,3,1,TA,6,0,1,0,5,2007,WD,Normal,94750
99,30,RL,Pave,Reg,1Fam,5,1920,1950,None,Fa,N,835,1,0,2,1,TA,5,0,1,400,5,2010,COD,Abnorml,83000
100,20,RL,Pave,IR1,1Fam,4,1959,1959,None,Fa,Y,1225,1,1,3,1,TA,6,0,0,400,1,2010,WD,Normal,128950
101,20,RL,Pave,IR1,1Fam,6,1977,2001,BrkFace,Gd,Y,1610,2,0,3,1,Gd,6,2,2,0,2,2010,WD,Normal,205000
102,60,RL,Pave,Reg,1Fam,6,1985,1985,BrkFace,TA,Y,1732,2,1,3,1,Gd,7,1,2,0,6,2010,WD,Normal,178000
103,90,RL,Pave,Reg,Duplex,5,1979,1979,None,TA,Y,1535,2,0,4,2,TA,8,0,2,0,6,2009,WD,Alloca,118964
104,20,RL,Pave,IR1,1Fam,7,2009,2009,None,Ex,Y,1226,2,0,3,1,Gd,6,0,3,0,5,2010,WD,Normal,198900
105,50,RM,Pave,Reg,1Fam,7,1931,1950,BrkFace,Ex,Y,1818,1,1,4,1,TA,7,2,1,0,6,2007,WD,Normal,169500
106,60,FV,Pave,Reg,1Fam,8,2003,2004,BrkFace,Ex,Y,1992,2,1,3,1,Gd,9,1,2,0,8,2008,WD,Normal,250000
107,30,RM,Pave,Reg,1Fam,4,1885,1995,None,Gd,Y,1047,1,0,2,1,TA,6,0,1,450,8,2007,WD,Normal,100000
108,20,RM,Pave,Reg,1Fam,5,1948,1950,None,Ex,Y,789,1,0,2,1,TA,5,0,1,0,4,2008,WD,Partial,115000
109,50,RM,Pave,Reg,1Fam,5,1919,2005,None,TA,N,1517,2,0,3,1,Fa,7,0,0,0,8,2007,WD,Normal,115000
110,20,RL,Pave,IR1,1Fam,6,1977,1977,BrkFace,Ex,Y,1844,2,0,3,1,TA,7,1,2,0,1,2010,COD,Normal,190000
111,50,RL,Pave,Reg,1Fam,6,1954,1972,None,Gd,Y,1855,2,0,4,1,TA,7,0,1,0,10,2006,WD,Normal,136900
112,80,RL,Pave,IR1,1Fam,7,2000,2000,None,Ex,Y,1430,2,1,3,1,TA,7,1,2,0,4,2010,WD,Normal,180000
113,60,RL,Pave,Reg,1Fam,7,2007,2007,Stone,Ex,Y,2696,2,1,4,1,Ex,10,1,3,0,10,2007,New,Partial,383970
114,20,RL,Pave,Reg,1Fam,6,1953,1953,BrkFace,TA,Y,2259,2,0,3,1,Gd,7,2,2,0,10,2007,COD,Abnorml,217000
115,70,RL,Pave,IR1,1Fam,6,1945,2002,None,Ex,Y,2320,2,1,3,1,Gd,9,1,1,0,7,2007,WD,Normal,259500
116,160,FV,Pave,Reg,TwnhsE,6,1999,1999,BrkFace,Gd,Y,1458,2,1,2,1,TA,5,1,2,0,6,2007,WD,Normal,176000
117,20,RL,Pave,Reg,1Fam,5,1962,1962,BrkFace,TA,Y,1092,1,0,3,1,TA,6,1,1,0,9,2009,WD,Normal,139000
118,20,RL,Pave,Reg,1Fam,5,2006,2007,None,Gd,Y,1125,1,1,2,1,TA,5,0,2,0,4,2007,New,Partial,155000
119,60,RL,Pave,Reg,1Fam,7,1990,1990,None,Gd,Y,3222,3,0,5,1,Gd,11,2,3,0,5,2010,WD,Normal,320000
120,60,RL,Pave,Reg,1Fam,6,2005,2006,None,Ex,Y,1456,2,1,3,1,Gd,8,1,2,0,7,2006,New,Partial,163990
121,80,RL,Pave,IR1,1Fam,6,1969,1969,None,Ex,Y,988,1,0,1,1,TA,4,2,2,0,10,2006,WD,Normal,180000
122,50,RM,Pave,Reg,1Fam,4,1939,1950,None,Gd,Y,1123,1,0,3,1,TA,4,0,1,0,6,2007,WD,Normal,100000
123,20,RL,Pave,Reg,1Fam,6,1958,1958,BrkFace,Gd,Y,1080,1,0,3,1,TA,5,0,1,0,6,2008,WD,Normal,136000
124,120,RL,Pave,Reg,TwnhsE,6,1993,1993,None,Ex,Y,1199,2,0,2,1,Gd,5,0,2,0,3,2008,WD,Normal,153900
125,20,RL,Pave,IR1,1Fam,6,1979,1998,None,TA,Y,1586,2,0,3,1,TA,7,1,2,0,1,2009,WD,Normal,181000
126,190,RM,Pave,Reg,2fmCon,6,1935,1982,None,Gd,N,754,1,0,2,1,TA,5,0,0,0,6,2006,WD,Normal,84500
127,120,RL,Pave,IR1,TwnhsE,6,1976,1976,None,TA,Y,958,2,0,2,1,TA,5,1,2,0,2,2007,WD,Normal,128000
128,45,RM,Pave,IR1,1Fam,5,1930,1950,None,Ex,Y,840,1,0,3,1,TA,5,1,0,0,6,2007,WD,Normal,87000
129,60,RL,Pave,Reg,1Fam,6,1966,1966,BrkFace,TA,Y,1348,1,1,3,1,TA,6,1,2,0,7,2006,WD,Normal,155000
130,20,RL,Pave,Reg,1Fam,5,1958,1991,BrkFace,TA,Y,1053,1,1,3,1,Ex,6,0,2,0,7,2006,WD,Abnorml,150000
131,60,RL,Pave,Reg,1Fam,7,1966,1966,BrkFace,Ex,Y,2157,2,1,4,1,Gd,8,2,2,0,5,2006,WD,Normal,226000
132,60,RL,Pave,IR1,1Fam,6,2000,2000,BrkFace,Ex,Y,2054,2,1,3,1,Gd,7,1,2,0,7,2009,WD,Normal,244000
133,20,RL,Pave,Reg,1Fam,5,1959,2002,None,Gd,Y,1327,1,0,3,1,Gd,7,0,2,0,7,2007,WD,Normal,150750
134,20,RL,Pave,IR1,1Fam,8,2001,2002,BrkFace,Ex,Y,1296,2,0,2,1,Gd,6,0,2,0,6,2009,WD,Normal,220000
135,20,RL,Pave,IR1,1Fam,5,1968,1993,None,Gd,Y,1721,2,1,3,1,TA,7,1,2,0,7,2006,WD,Normal,180000
136,20,RL,Pave,Reg,1Fam,7,1970,1970,BrkFace,Gd,Y,1682,2,0,3,1,TA,7,1,2,0,5,2008,WD,Normal,174000
137,20,RL,Pave,IR1,1Fam,5,1967,1967,BrkFace,TA,Y,1214,2,0,3,1,TA,5,1,1,0,7,2007,WD,Normal,143000
138,90,RL,Pave,Reg,Duplex,7,1988,1989,BrkFace,Gd,Y,1959,3,0,5,2,TA,9,0,3,0,7,2006,WD,Family,171000
139,60,RL,Pave,IR1,1Fam,8,1999,2000,BrkFace,Ex,Y,1852,2,1,3,1,Gd,7,2,3,0,12,2008,WD,Normal,230000
140,60,RL,Pave,IR1,1Fam,6,1997,1997,None,Ex,Y,1764,2,1,3,1,Gd,7,0,2,0,8,2009,WD,Normal,231500
141,20,RL,Pave,Reg,1Fam,4,1971,1971,None,TA,Y,864,1,0,3,1,TA,5,1,0,0,4,2010,ConLI,Normal,115000
142,20,RL,Pave,Reg,1Fam,7,2005,2005,None,Ex,Y,1734,2,0,3,1,Gd,7,0,2,0,1,2006,WD,Normal,260000
143,50,RL,Pave,Reg,1Fam,5,1952,1952,None,Fa,Y,1385,2,0,4,1,TA,6,0,2,0,6,2010,WD,Normal,166000
144,20,RL,Pave,IR1,1Fam,7,1999,1999,BrkFace,Ex,Y,1501,2,0,3,1,Gd,6,0,2,0,6,2009,WD,Normal,204000
145,90,RM,Pave,Reg,Duplex,5,1963,1963,BrkFace,TA,Y,1728,2,0,6,2,TA,10,0,2,0,11,2006,ConLI,Abnorml,125000
146,160,RM,Pave,Reg,Twnhs,6,2004,2006,Stone,Ex,Y,1709,2,0,3,1,Gd,7,0,2,0,4,2006,WD,Normal,130000
147,30,RM,Pave,Reg,1Fam,5,1931,1993,None,TA,Y,875,1,0,2,1,TA,5,0,1,0,11,2009,WD,Normal,105000
148,60,RL,Pave,IR1,1Fam,7,2001,2001,BrkFace,Ex,Y,2035,2,1,3,1,Gd,8,1,2,0,5,2010,WD,Normal,222500
149,20,RL,Pave,Reg,1Fam,7,2004,2005,BrkFace,Ex,Y,1080,1,0,3,1,Gd,6,0,0,0,4,2008,WD,Normal,141000
150,50,RM,Pave,Reg,1Fam,5,1936,1950,None,Gd,Y,1344,1,0,3,1,TA,7,0,1,0,4,2006,WD,Normal,115000
151,20,RL,Pave,Reg,1Fam,5,1975,1975,None,TA,Y,969,1,1,3,1,TA,5,0,2,0,1,2007,WD,Normal,122000
152,20,RL,Pave,Reg,1Fam,8,2007,2008,Stone,Ex,Y,1710,2,0,2,1,Gd,6,1,3,0,1,2008,New,Partial,372402
153,60,RL,Pave,IR1,1Fam,6,1971,1971,BrkFace,Gd,Y,1993,2,1,4,1,TA,8,1,2,0,6,2006,WD,Normal,190000
154,20,RL,Pave,Reg,1Fam,6,1960,1975,None,Gd,Y,1252,1,0,1,1,TA,4,1,2,0,3,2008,WD,Normal,235000
155,30,RM,Pave,Reg,1Fam,6,1923,1950,None,TA,Y,1200,1,0,4,1,TA,7,0,1,0,3,2006,WD,Family,125000
156,50,RL,Pave,Reg,1Fam,6,1924,1950,None,Fa,N,1096,1,0,2,1,TA,5,0,0,0,4,2008,WD,Normal,79000
157,20,RL,Pave,Reg,1Fam,5,1950,1950,None,TA,Y,1040,1,0,2,1,TA,5,0,2,0,6,2006,WD,Normal,109500
158,60,RL,Pave,Reg,1Fam,8,2009,2010,BrkFace,Ex,Y,1968,2,1,4,1,Ex,8,1,3,0,5,2010,New,Partial,269500
159,60,FV,Pave,Reg,1Fam,7,2004,2005,None,Ex,Y,1947,2,1,3,1,Gd,8,1,2,0,5,2010,WD,Normal,254900
160,60,RL,Pave,IR1,1Fam,7,2005,2006,BrkFace,Ex,Y,2462,2,1,4,1,Gd,9,1,2,0,3,2006,New,Partial,320000
161,20,RL,Pave,IR1,1Fam,6,1984,1984,None,TA,Y,1232,2,0,3,1,TA,6,0,2,0,6,2008,WD,Normal,162500
162,60,RL,Pave,IR1,1Fam,9,2003,2004,BrkFace,Ex,Y,2668,2,1,3,1,Ex,10,2,3,0,3,2008,WD,Normal,412500
163,20,RL,Pave,Reg,1Fam,7,2005,2005,BrkFace,Ex,Y,1541,2,0,3,1,Gd,7,1,2,0,5,2010,New,Partial,220000
164,45,RL,Pave,Reg,1Fam,4,1956,1956,None,Ex,Y,882,1,0,1,1,TA,4,0,0,0,4,2007,WD,Normal,103200
165,40,RM,Pave,Reg,1Fam,6,1926,2004,None,Gd,Y,1616,2,0,3,1,Gd,5,0,1,0,10,2007,WD,Normal,152000
166,190,RL,Pave,Reg,2fmCon,5,1940,1999,None,Gd,Y,1355,2,0,4,2,TA,6,0,0,0,9,2008,WD,Normal,127500
167,20,RL,Pave,IR1,1Fam,5,1955,1993,None,Ex,Y,1867,1,0,2,1,TA,7,3,1,0,11,2009,COD,Normal,190000
168,60,RL,Pave,Reg,1Fam,8,2007,2007,Stone,Ex,Y,2161,1,1,3,1,Ex,8,1,3,0,11,2007,New,Partial,325624
169,60,RL,Pave,IR1,1Fam,7,2004,2004,None,Ex,Y,1720,2,1,3,1,Gd,7,1,2,0,5,2007,WD,Normal,183500
170,20,RL,Pave,IR1,1Fam,8,1981,1981,BrkFace,TA,Y,1707,2,1,2,1,TA,6,1,2,0,1,2006,WD,Normal,228000
171,50,RM,Pave,IR1,1Fam,5,1941,1950,None,TA,Y,1382,1,1,2,1,TA,7,0,2,0,5,2007,WD,Normal,128500
172,20,RL,Pave,IR1,1Fam,6,1960,1960,Stone,Fa,Y,1656,1,0,3,1,TA,7,2,2,0,5,2010,WD,Normal,215000
173,160,RL,Pave,IR1,TwnhsE,7,1987,1987,None,Gd,Y,1767,2,0,2,1,Gd,5,1,2,0,6,2006,WD,Normal,239000
174,20,RL,Pave,IR1,1Fam,6,1961,1961,BrkCmn,TA,Y,1362,1,1,3,1,TA,6,1,2,0,6,2008,COD,Normal,163000
175,20,RL,Pave,IR1,1Fam,6,1986,1986,Stone,TA,Y,1651,2,0,3,1,TA,7,1,2,0,11,2008,WD,Normal,184000
176,20,RL,Pave,Reg,1Fam,6,1950,2001,None,TA,Y,2158,2,0,4,1,Gd,7,1,2,0,6,2007,WD,Normal,243000
177,60,RL,Pave,IR1,1Fam,6,1988,1989,BrkFace,TA,Y,2060,2,1,4,1,TA,8,1,2,0,9,2007,WD,Normal,211000
178,50,RL,Pave,Reg,1Fam,5,1958,1958,None,Ex,Y,1920,2,0,4,1,Gd,8,1,2,0,7,2006,WD,Normal,172500
179,20,RL,Pave,IR1,1Fam,9,2008,2009,Stone,Ex,Y,2234,2,0,1,1,Ex,9,1,3,0,7,2009,New,Partial,501837
180,30,RM,Pave,Reg,1Fam,5,1923,2006,None,TA,Y,968,1,0,2,1,TA,5,0,2,0,7,2007,WD,Normal,100000
